"","X.1","X_7","SAR","case_7","closest_SAR_7","X_10","case_10","closest_SAR_10","X","case_14","closest_SAR_14","clade1_cR0_7","clade1_cR0_10","clade1_cR0_14","clade2_R0_7","clade2_R0_10","clade2_R0_14"
"73",73,73,0.36,9.99842616136171e-05,0.744157433364177,73,9.99834756151285e-05,0.459569030424409,73,0.0128511343359609,0.407739878242892,1.0036428994807,1.00339825725101,1.31225228453264,0.485530920761807,0.78600460147799,1.15860833742226
"74",74,74,0.365,9.99842616136171e-05,0.744157433364177,74,9.99834756151285e-05,0.459569030424409,74,0.0143891911871195,0.417932359520903,1.0036428994807,1.00339825725101,1.34505532283188,0.492274405772387,0.796921332054074,1.17470011988646
"75",75,75,0.37,9.99842616136171e-05,0.744157433364177,75,9.99834756151285e-05,0.459569030424409,75,0.015920870975535,0.427955820405282,1.0036428994807,1.00339825725101,1.37731439324984,0.499017890782968,0.807838062630157,1.19079190235066
"76",76,76,0.375,9.99842616136171e-05,0.744157433364177,76,9.99834756151285e-05,0.459569030424409,76,0.017541424448781,0.438446059831824,1.0036428994807,1.00339825725101,1.41107572341969,0.505761375793549,0.81875479320624,1.20688368481485
"77",77,77,0.38,9.99842616136171e-05,0.744157433364177,77,9.99834756151285e-05,0.459569030424409,77,0.0191550436036466,0.448793657958466,1.0036428994807,1.00339825725101,1.44437798303587,0.512504860804129,0.829671523782323,1.22297546727905
"78",78,78,0.385,9.99842616136171e-05,0.744157433364177,78,9.99834756151285e-05,0.459569030424409,78,0.0207618533927849,0.459017074636232,1.0036428994807,1.00339825725101,1.47728058247976,0.51924834581471,0.840588254358406,1.23906724974325
"79",79,79,0.39,9.99842616136171e-05,0.744157433364177,79,9.99834756151285e-05,0.459569030424409,79,0.0224558907455671,0.469723632053041,1.0036428994807,1.00339825725101,1.51173810105811,0.525991830825291,0.85150498493449,1.25515903220745
"80",80,80,0.395,9.99842616136171e-05,0.744157433364177,80,9.99834756151285e-05,0.459569030424409,80,0.0241425595975674,0.480323703069591,1.0036428994807,1.00339825725101,1.54585290843878,0.532735315835871,0.862421715510573,1.27125081467165
"81",81,81,0.4,9.99842616136171e-05,0.744157433364177,81,9.99834756151285e-05,0.459569030424409,81,0.0259150777313507,0.491411601964451,1.0036428994807,1.00339825725101,1.58153771983901,0.539478800846452,0.873338446086656,1.28734259713584
"82",82,82,0.405,9.99842616136171e-05,0.744157433364177,82,9.99834756151285e-05,0.459569030424409,82,0.0276796674847946,0.502408620379327,1.0036428994807,1.00339825725101,1.6169300454564,0.546222285857033,0.884255176662739,1.30343437960004
